card_id,card_name,card_category,new_column,split_detail,content
1.0,신한카드 Hi-Point,소매,"[롯데백화점,현대백화점,롯데마트,이마트,홈플러스,토이저러스,CJ오쇼핑,CJmall][1.0~5.0%적립]",,백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립
1.0,신한카드 Hi-Point,생활서비스,"[S-OIL, 현대오일뱅크][리터 당 60원 적립]",,"S-OIL, 현대오일뱅크 주유 시 리터 당 60원 적립"
1.0,신한카드 Hi-Point,생활서비스,"[SKT,KT,LG U][1.0~5.0% 적립]",,SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
2.0,신한카드 Love,소매,"[현대백화점,롯데백화점,신세계백화점,갤러리아백화점,이마트,롯데마트,홈플러스,GS홈쇼핑,이마트 에브리데이,이마트 메트로,홈플러스 익스프레스,롯데슈퍼,LG전자][5% 할인][뷰티플렉스][10% 할인]",,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인"
2.0,신한카드 Love,음식,"[아웃백,카페마마스,스타벅스][20% 할인]
[불고기브라더스, 제일제면소][30% 할인]",,"국내 유명 패밀리레스토랑, 커피 20~30% 할인"
2.0,신한카드 Love,생활서비스,[GS칼텍스][리터 당 60원 할인],,GS칼텍스 리터당 60원 할인
3.0,신한카드 Lady,소매,"[롯데백화점,신세계백화점,현대백화점,롯데마트][5% 할인]
[GS아이수퍼][3% 할인][루첸리][10% 할인]",,"3대 백화점(롯데,신세계,현대) 및 롯데마트 5% 결제일 할인"
3.0,신한카드 Lady,음식,"[빕스,아웃백,불고기브라더스,투썸플레이스][20% 할인]
[조 샌드위치][10% 할인]",,국내 유명 패밀리 레스토랑 및 커피 최대 20% 할인
3.0,신한카드 Lady,생활서비스,[S-OIL][리터 당 60원 적립],,S-OIL 주유 시 리터 당 60원 적립
3.0,신한카드 Lady,생활서비스,"[SKT,KT,LGU+][2% 할인]",,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)"
