CARD_ID,CARD_NAME,카드사,카테고리,카테고리,소분류,실적구간,1회당 할인율,월 할인한도(할인금액기준)
730,현대카드Z family,현대카드,온라인,온라인,네이버쇼핑,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,쿠팡,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,G마켓,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,옥션,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,위메프,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,11번가,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,SSG.COM,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,현대Hmall,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,GS SHOP,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,티몬,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,CJMALL,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,인터파크,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,마켓컬리,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,롯데ON,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,온라인,네이버쇼핑,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,쿠팡,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,G마켓,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,옥션,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,위메프,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,11번가,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,SSG.COM,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,현대Hmall,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,GS SHOP,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,티몬,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,CJMALL,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,인터파크,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,마켓컬리,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,온라인,롯데ON,2구간(80~),10%,8000
,,,,,,,,
730,현대카드Z family,현대카드,쇼핑,대형마트,이마트,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,쇼핑,대형마트,홈플러스,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,쇼핑,대형마트,롯데마트,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,쇼핑,대형마트,이마트,2구간(80~),10%,8000
730,현대카드Z family,현대카드,쇼핑,대형마트,홈플러스,2구간(80~),10%,8000
730,현대카드Z family,현대카드,쇼핑,대형마트,롯데마트,2구간(80~),10%,8000
,,,,,,,,
730,현대카드Z family,현대카드,온라인,배달,배달의민족,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,배달,요기요,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,배달,쿠팡이츠,1구간(40~80),10%,5000
730,현대카드Z family,현대카드,온라인,배달,배달의민족,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,배달,요기요,2구간(80~),10%,8000
730,현대카드Z family,현대카드,온라인,배달,쿠팡이츠,2구간(80~),10%,8000
730,현대카드Z family,현대카드,생활,주유소,GS칼텍스,1구간(40~80),5%,10000
730,현대카드Z family,현대카드,생활,주유소,SK에너지,1구간(40~80),5%,10000
730,현대카드Z family,현대카드,생활,주유소,현대오일뱅크,1구간(40~80),5%,10000
730,현대카드Z family,현대카드,생활,주유소,S-OIL,1구간(40~80),5%,10000
730,현대카드Z family,현대카드,생활,주유소,GS칼텍스,2구간(80~),5%,13000
730,현대카드Z family,현대카드,생활,주유소,SK에너지,2구간(80~),5%,13000
730,현대카드Z family,현대카드,생활,주유소,현대오일뱅크,2구간(80~),5%,13000
730,현대카드Z family,현대카드,생활,주유소,S-OIL,2구간(80~),5%,13000
730,현대카드Z family,현대카드,온라인,통신,SKT,1구간(40~80),7%,5000
730,현대카드Z family,현대카드,온라인,통신,KT,1구간(40~80),7%,5000
730,현대카드Z family,현대카드,온라인,통신,LGU+,1구간(40~80),7%,5000
730,현대카드Z family,현대카드,온라인,통신,SKT,2구간(80~),7%,8000
730,현대카드Z family,현대카드,온라인,통신,KT,2구간(80~),7%,8000
730,현대카드Z family,현대카드,온라인,통신,LGU+,2구간(80~),7%,8000
730,현대카드Z family,현대카드,온라인,공과금,관리비,1구간(40~80),7%,5000
730,현대카드Z family,현대카드,온라인,공과금,도시가스,1구간(40~80),7%,5000
730,현대카드Z family,현대카드,온라인,공과금,관리비,2구간(80~),7%,8000
730,현대카드Z family,현대카드,온라인,공과금,도시가스,2구간(80~),7%,8000
657,taptap DIGITAL,삼성카드,온라인,간편결제,삼성페이,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,네이버페이,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,카카오페이,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,PAYCO,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,스마일페이,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,COUPAY,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,SSGPAY,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,L.PAY,1구간(30~60),5%,10000
657,taptap DIGITAL,삼성카드,온라인,간편결제,삼성페이,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,네이버페이,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,카카오페이,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,PAYCO,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,스마일페이,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,COUPAY,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,SSGPAY,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,L.PAY,2구간(60~90),5%,15000
657,taptap DIGITAL,삼성카드,온라인,간편결제,삼성페이,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,네이버페이,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,카카오페이,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,PAYCO,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,스마일페이,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,COUPAY,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,SSGPAY,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,간편결제,L.PAY,3구간(90~),5%,20000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,넷플릭스,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,웨이브,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,티빙,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,왓챠,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,멜론,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,FLO,1구간(30~60),50%,5000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,넷플릭스,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,웨이브,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,티빙,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,왓챠,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,멜론,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,FLO,2구간(60~90),50%,7000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,넷플릭스,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,웨이브,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,티빙,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,왓챠,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,멜론,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,온라인,스트리밍,FLO,3구간(90~),50%,10000
657,taptap DIGITAL,삼성카드,편의점,편의점,CU,1구간(30~),10%,5000
657,taptap DIGITAL,삼성카드,편의점,편의점,GS25,1구간(30~),10%,5000
657,taptap DIGITAL,삼성카드,편의점,편의점,세븐일레븐,1구간(30~),10%,5000
657,taptap DIGITAL,삼성카드,편의점,편의점,미니스톱,1구간(30~),10%,5000
