card_id,card_name,card_category,detail,new_column,split_detail
1.0,신한카드 Hi-Point,소매,"롯데/ 현대백화점 마이신한포인트 1.0~5.0% 적립
- 문화센타 등 비쇼핑 항목 및 온라인매장은 적립 제외
- 세일기간, 식품매장에서도 적립 서비스 제공

롯데마트/이마트/홈플러스/토이저러스 1.0~5.0% 적립
- 문화센타 등 비쇼핑 항목 및 온라인 매장은 적립 제외
- 롯데슈퍼/이마트에브리데이/이마트메트로/홈플러스익스프레스 등 할인점 계열, 슈퍼마켓(SSM)은 특별적립 대상 제외

CJ오쇼핑/CJmall 마이신한포인트 1.0~5.0% 적립
- 상품권 구매건 제외(0.2~2.0% 적립률 적용)",,"['롯데/ 현대백화점 마이신한포인트 1.0~5.0% 적립', '- 문화센타 등 비쇼핑 항목 및 온라인매장은 적립 제외', '- 세일기간, 식품매장에서도 적립 서비스 제공', '', '롯데마트/이마트/홈플러스/토이저러스 1.0~5.0% 적립', '- 문화센타 등 비쇼핑 항목 및 온라인 매장은 적립 제외', '- 롯데슈퍼/이마트에브리데이/이마트메트로/홈플러스익스프레스 등 할인점 계열, 슈퍼마켓(SSM)은 특별적립 대상 제외', '', 'CJ오쇼핑/CJmall 마이신한포인트 1.0~5.0% 적립', '- 상품권 구매건 제외(0.2~2.0% 적립률 적용)']"
1.0,신한카드 Hi-Point,생활서비스,"S-OIL / 현대오일뱅크 주유 시 리터 당 60원 마이신한포인트 적립
- S-OIL/현대오일뱅크 리터 당 60원 적립
- 적립포인트 산정방법 = 주유이용금액 × 리터당 적립금액(60원) / 기준유가
  * 기준유가 : S-OIL/현대오일뱅크가 통보한 휘발유가입니다.
- S-OIL/현대오일뱅크 정유사별 월 2회, 주유금액 20만원까지 적립
- 주유금액 20만원 월한도 초과시 다음 결제건부터 0.2~2.0% 적립처와 동일한 포인트 적립
- 정유사가 통보한 휘발유 표준 고시유가 기준
  * LPG 충전소 제외, 경유·등유는 휘발유가로 계산되어 적립됩니다.",,"['S-OIL / 현대오일뱅크 주유 시 리터 당 60원 마이신한포인트 적립', '- S-OIL/현대오일뱅크 리터 당 60원 적립', '- 적립포인트 산정방법 = 주유이용금액 × 리터당 적립금액(60원) / 기준유가', '  * 기준유가 : S-OIL/현대오일뱅크가 통보한 휘발유가입니다.', '- S-OIL/현대오일뱅크 정유사별 월 2회, 주유금액 20만원까지 적립', '- 주유금액 20만원 월한도 초과시 다음 결제건부터 0.2~2.0% 적립처와 동일한 포인트 적립', '- 정유사가 통보한 휘발유 표준 고시유가 기준', '  * LPG 충전소 제외, 경유·등유는 휘발유가로 계산되어 적립됩니다.']"
1.0,신한카드 Hi-Point,생활서비스,"SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립
- SK텔레콤/KT/LG U+ 이동통신요금 자동이체 결제금액(KT 통신요금 결합상품 통합 과금 포함)
- 자동이체 건수에 관계없이 포인트 적립(가족도 가능)
  * 순수 결제금액 자동이체외 요금은 적립불가(약정금액 대납, 지점을 통한 월납 제외)
- 결제금액 기준 월 10만원 한도(10만원 초과 결제건 이후의 추가 결제건에 대해서는 0.2~2.0% 적립률 적용)
  예) 13만원 결제 시, 10만원에 대해 특별 적립률(1.0~5.0%)이 적용되며 나머지 3만원에 대해서는 서비스 적용되지 않음. 이후 결제 건부터 일반적립률(0.2~2.0%) 적용됨.",,"['SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립', '- SK텔레콤/KT/LG U+ 이동통신요금 자동이체 결제금액(KT 통신요금 결합상품 통합 과금 포함)', '- 자동이체 건수에 관계없이 포인트 적립(가족도 가능)', '  * 순수 결제금액 자동이체외 요금은 적립불가(약정금액 대납, 지점을 통한 월납 제외)', '- 결제금액 기준 월 10만원 한도(10만원 초과 결제건 이후의 추가 결제건에 대해서는 0.2~2.0% 적립률 적용)', '  예) 13만원 결제 시, 10만원에 대해 특별 적립률(1.0~5.0%)이 적용되며 나머지 3만원에 대해서는 서비스 적용되지 않음. 이후 결제 건부터 일반적립률(0.2~2.0%) 적용됨.']"
2.0,신한카드 Love,소매,"국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인
- 백화점 : 현대, 롯데, 신세계, 갤러리아
- 할인점 : 이마트, 롯데마트, 홈플러스
- 온라인 쇼핑몰 : GS홈쇼핑(GS e-shop)
- 백화점, 할인점 월 2회, 온라인 쇼핑몰 일 1회, 월 2회에 한함
- 할인 전 승인금액 기준 1회 10만원, 1회 최대 5천원까지 할인
- 이마트 에브리데이/메트로, 홈플러스 익스프레스, 롯데슈퍼 등 슈퍼슈퍼마켓(SSM) 및 상품권 구매 시 할인 적용 불가
- 백화점, 할인점 혜택의 경우 온라인 매장은 제외됩니다.

전국 유명 백화점 및 할인점 상시 2~3개월 무이자할부
- 백화점 : 현대, 롯데, 신세계, 갤러리아
- 할인점 : 이마트, 롯데마트, 홈플러스
- 단, Online매장 결제 시 서비스 적용이 제외됩니다.
- 해당 매장에서 2~3개월 할부로 결제 시 자동으로 무이자 적용되어 청구됩니다.

LG계열 제휴사 할인 및 포인트 적립
LG전자(하이프라자, LG전자 전문점) : 청구 시 5% 할인
- 일 1회, 월 2회, 1회 10만원(할인 전 승인금액 기준, 최대 5천원까지 할인)

뷰티플렉스 : 청구 시 10% 할인, 뷰티플렉스 포인트 10% 적립
- 일 1회, 월 2회, 1회 10만원(할인 전 승인금액 기준, 최대 1만원까지 할인)

LG계열 제휴사 서비스 제공안내
- 할인점 내에 입점한 뷰티플렉스 매장의 경우 서비스 적용 불가
- 오프라인 매장에 한해 서비스 적용
- 뷰티플렉스 멤버십 가입 회원에 한해 포인트 적립",,"['국내 유명 백화점, 할인점, 온라인 쇼핑몰 최대 5% 할인', '- 백화점 : 현대, 롯데, 신세계, 갤러리아', '- 할인점 : 이마트, 롯데마트, 홈플러스', '- 온라인 쇼핑몰 : GS홈쇼핑(GS e-shop)', '- 백화점, 할인점 월 2회, 온라인 쇼핑몰 일 1회, 월 2회에 한함', '- 할인 전 승인금액 기준 1회 10만원, 1회 최대 5천원까지 할인', '- 이마트 에브리데이/메트로, 홈플러스 익스프레스, 롯데슈퍼 등 슈퍼슈퍼마켓(SSM) 및 상품권 구매 시 할인 적용 불가', '- 백화점, 할인점 혜택의 경우 온라인 매장은 제외됩니다.', '', '전국 유명 백화점 및 할인점 상시 2~3개월 무이자할부', '- 백화점 : 현대, 롯데, 신세계, 갤러리아', '- 할인점 : 이마트, 롯데마트, 홈플러스', '- 단, Online매장 결제 시 서비스 적용이 제외됩니다.', '- 해당 매장에서 2~3개월 할부로 결제 시 자동으로 무이자 적용되어 청구됩니다.', '', 'LG계열 제휴사 할인 및 포인트 적립', 'LG전자(하이프라자, LG전자 전문점) : 청구 시 5% 할인', '- 일 1회, 월 2회, 1회 10만원(할인 전 승인금액 기준, 최대 5천원까지 할인)', '', '뷰티플렉스 : 청구 시 10% 할인, 뷰티플렉스 포인트 10% 적립', '- 일 1회, 월 2회, 1회 10만원(할인 전 승인금액 기준, 최대 1만원까지 할인)', '', 'LG계열 제휴사 서비스 제공안내', '- 할인점 내에 입점한 뷰티플렉스 매장의 경우 서비스 적용 불가', '- 오프라인 매장에 한해 서비스 적용', '- 뷰티플렉스 멤버십 가입 회원에 한해 포인트 적립']"
2.0,신한카드 Love,음식,"유명 패밀리 레스토랑 20~30% 할인
- 패밀리 레스토랑 : 아웃백, 카페마마스 20% 할인
- 불고기브라더스, 제일제면소 30% 할인
- 월 2회, 1회 10만원(할인 전 승인금액 기준)

커피 : 스타벅스 20% 할인
- 일 1회, 월 5회, 1회 1만원(할인 전 승인금액 기준, 최대 2천원까지 할인)

패밀리레스토랑, 커피 할인 서비스 제공안내
- 스타벅스, 제일제면소, 카페마마스의 경우 대형 할인점, 백화점, 공항 등 입점 매장 서비스적용 불가
- 단품 메뉴에 한하여 세트 및 행사 메뉴 서비스 적용 불가 (단, 불고기브라더스 세트 메뉴 할인 가능)
- 타 쿠폰 및 카드(통신계 카드 등)와 중복 할인 불가
- 상품권 구매 또는 선불카드 충전 시 서비스 적용 불가
- 카페마마스의 경우 오프라인 매장 직접 결제 시, 서비스 적용",,"['유명 패밀리 레스토랑 20~30% 할인', '- 패밀리 레스토랑 : 아웃백, 카페마마스 20% 할인', '- 불고기브라더스, 제일제면소 30% 할인', '- 월 2회, 1회 10만원(할인 전 승인금액 기준)', '', '커피 : 스타벅스 20% 할인', '- 일 1회, 월 5회, 1회 1만원(할인 전 승인금액 기준, 최대 2천원까지 할인)', '', '패밀리레스토랑, 커피 할인 서비스 제공안내', '- 스타벅스, 제일제면소, 카페마마스의 경우 대형 할인점, 백화점, 공항 등 입점 매장 서비스적용 불가', '- 단품 메뉴에 한하여 세트 및 행사 메뉴 서비스 적용 불가 (단, 불고기브라더스 세트 메뉴 할인 가능)', '- 타 쿠폰 및 카드(통신계 카드 등)와 중복 할인 불가', '- 상품권 구매 또는 선불카드 충전 시 서비스 적용 불가', '- 카페마마스의 경우 오프라인 매장 직접 결제 시, 서비스 적용']"
2.0,신한카드 Love,생활서비스,"GS칼텍스 리터당 60원 할인(LPG 서비스 제외)
- 일 2회, 1회 10만원, 월 30만원(할인 전 승인금액 기준)
- 할인액 산정방법 = 주유이용금액 x 리터당 할인금액(60원) / 기준유가
- 기준유가 : GS칼텍스가 통보한 휘발유가입니다.
- 기준유가는 GS칼텍스 고시 휘발유가이며, 각 주유소별 유가 차이 및 유류에 따라 할인금액의 차이가 발생할 수 있습니다.
- 등유, 경유도 휘발유 기준 적용",,"['GS칼텍스 리터당 60원 할인(LPG 서비스 제외)', '- 일 2회, 1회 10만원, 월 30만원(할인 전 승인금액 기준)', '- 할인액 산정방법 = 주유이용금액 x 리터당 할인금액(60원) / 기준유가', '- 기준유가 : GS칼텍스가 통보한 휘발유가입니다.', '- 기준유가는 GS칼텍스 고시 휘발유가이며, 각 주유소별 유가 차이 및 유류에 따라 할인금액의 차이가 발생할 수 있습니다.', '- 등유, 경유도 휘발유 기준 적용']"
3.0,신한카드 Lady,소매,"3대 백화점(롯데, 신세계, 현대) 및 롯데마트 5% 결제일 할인
- 월 2회 통합횟수 제한
- 할인전 승인금액기준 건당 10만원까지 할인 가능(최대 5천원 할인)
- 이용 실적 기준
  * 해당 카드로 서비스 이용 직전 3개월 일시불+할부 이용 금액이 60만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 4개월까지 실적 제한 없이 서비스가 제공됩니다.
  * 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 교통카드 이용실적은 전전월 사용실적이 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

GS아이수퍼 3% 결제일 할인
- 월 1회 3% 할인 (최대 할인금액 5천원)
- 이용 실적 기준
  * Lady카드로 서비스 이용 직전 1개월 일시불 + 할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드사용 등록월 익월말(+1개월)까지 이용실적 상관없이 서비스가 제공됩니다.
  * 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 교통카드 이용실적은 전전월 사용실적이 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

루첸리 10% 할인
http://www.lucenlee.com
- 루첸리 매장
  * 현대백화점 (본점, 목동점, 미아점, 중동점, 신촌점, 울산점)
  * 롯데백화점 (본점, 일산점, 노원점, 안양점, 스타시티점, 영등포점, 부산점, 대구점)
  * AK플라자 (분당점, 수원점), 갤러리아 타임월드점, 도곡 직영점, 청담 직영점
- 단, 다이아몬드 나석 등 일부품목 할인 제외/백화점 할인행사와 중복할인 불가",,"['3대 백화점(롯데, 신세계, 현대) 및 롯데마트 5% 결제일 할인', '- 월 2회 통합횟수 제한', '- 할인전 승인금액기준 건당 10만원까지 할인 가능(최대 5천원 할인)', '- 이용 실적 기준', '  * 해당 카드로 서비스 이용 직전 3개월 일시불+할부 이용 금액이 60만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 4개월까지 실적 제한 없이 서비스가 제공됩니다.', '  * 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 교통카드 이용실적은 전전월 사용실적이 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', 'GS아이수퍼 3% 결제일 할인', '- 월 1회 3% 할인 (최대 할인금액 5천원)', '- 이용 실적 기준', '  * Lady카드로 서비스 이용 직전 1개월 일시불 + 할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드사용 등록월 익월말(+1개월)까지 이용실적 상관없이 서비스가 제공됩니다.', '  * 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 교통카드 이용실적은 전전월 사용실적이 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', '루첸리 10% 할인', 'http://www.lucenlee.com', '- 루첸리 매장', '  * 현대백화점 (본점, 목동점, 미아점, 중동점, 신촌점, 울산점)', '  * 롯데백화점 (본점, 일산점, 노원점, 안양점, 스타시티점, 영등포점, 부산점, 대구점)', '  * AK플라자 (분당점, 수원점), 갤러리아 타임월드점, 도곡 직영점, 청담 직영점', '- 단, 다이아몬드 나석 등 일부품목 할인 제외/백화점 할인행사와 중복할인 불가']"
3.0,신한카드 Lady,음식,"빕스 20% 할인
- 현장 할인
- 월 2회, 연 6회(빕스,투썸플레이스 통합 횟수 적용)
- 할인 전 승인금액기준 건당 10만원까지 할인 가능
- 타 카드(제휴사 멤버십, 통신계 카드 등) 및 쿠폰과 중복할인 적용 불가
- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨
- 이용 실적 기준
  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.
  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

아웃백 20% 할인
- 현장 할인
- 연 4회 할인 서비스 가능 (年 기준 : 1월~12월)
- 1회 20만원(할인 전 금액)까지 할인 가능
- 타 쿠폰 및 타 카드(신용카드,통신계 카드 등) 중복 사용 불가
- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨
- 이용 실적 기준
  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.
  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

불고기브라더스 20% 할인
- 현장 할인
- 타 쿠폰 및 타 카드(신용카드,통신계 카드 등) 중복 사용 불가
- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨
- 이용 실적 기준
  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.
  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

투썸플레이스 20% 할인
- 현장 할인 / 월 2회, 연 6회(빕스, 투썸플레이스 통합 횟수 적용)
- 할인 전 승인금액기준 건당 10만원까지 할인 가능
- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨
- 이용 실적 기준
  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.
  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.
- 전월 이용금액 제외 대상
  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액

롯데호텔 할인 서비스
- 레스토랑 : 10% 할인(소매상품, Gala Dinner 등 특별행사 메뉴 제외)
  * 서비스제공업장 : 서울/월드(잠실)/부산/울산/제주 전 업장
- 객실 : 부산/울산 30% 할인, 잠실 25% 할인, 소공/마포/김포시티 20% 할인
  * 정상가 기준 할인율이며 패키지 상품 및 캐릭터룸은 할인에서 제외됩니다.
  * 각 매장별 일부 성수기는 제외됩니다.

Joe's Sandwich(조 샌드위치) 10% 할인
- 전품목 상시 10% 현장 할인 혜택제공
- 타 할인과의 중복적용은 불가",,"['빕스 20% 할인', '- 현장 할인', '- 월 2회, 연 6회(빕스,투썸플레이스 통합 횟수 적용)', '- 할인 전 승인금액기준 건당 10만원까지 할인 가능', '- 타 카드(제휴사 멤버십, 통신계 카드 등) 및 쿠폰과 중복할인 적용 불가', '- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨', '- 이용 실적 기준', '  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.', '  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', '아웃백 20% 할인', '- 현장 할인', '- 연 4회 할인 서비스 가능 (年 기준 : 1월~12월)', '- 1회 20만원(할인 전 금액)까지 할인 가능', '- 타 쿠폰 및 타 카드(신용카드,통신계 카드 등) 중복 사용 불가', '- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨', '- 이용 실적 기준', '  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.', '  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', '불고기브라더스 20% 할인', '- 현장 할인', '- 타 쿠폰 및 타 카드(신용카드,통신계 카드 등) 중복 사용 불가', '- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨', '- 이용 실적 기준', '  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.', '  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', '투썸플레이스 20% 할인', '- 현장 할인 / 월 2회, 연 6회(빕스, 투썸플레이스 통합 횟수 적용)', '- 할인 전 승인금액기준 건당 10만원까지 할인 가능', '- 할인 횟수 및 이용 실적 기준은 보유한 모든 Lady 카드 통합 적용됨', '- 이용 실적 기준', '  * Lady 카드로 서비스 이용 전월 일시불+할부 이용 금액이 30만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.', '  * 전월 이용실적(전월 교통카드 이용실적 포함)은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '  * 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '- 전월 이용금액 제외 대상', '  * 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '', '롯데호텔 할인 서비스', '- 레스토랑 : 10% 할인(소매상품, Gala Dinner 등 특별행사 메뉴 제외)', '  * 서비스제공업장 : 서울/월드(잠실)/부산/울산/제주 전 업장', '- 객실 : 부산/울산 30% 할인, 잠실 25% 할인, 소공/마포/김포시티 20% 할인', '  * 정상가 기준 할인율이며 패키지 상품 및 캐릭터룸은 할인에서 제외됩니다.', '  * 각 매장별 일부 성수기는 제외됩니다.', '', ""Joe's Sandwich(조 샌드위치) 10% 할인"", '- 전품목 상시 10% 현장 할인 혜택제공', '- 타 할인과의 중복적용은 불가']"
3.0,신한카드 Lady,생활서비스,"S-OIL 주유 시 60포인트/ℓ 마이신한포인트 적립(LPG 제외)
- 월 4회에 한하여, 월 20만원(할인 전 금액)까지 적립

이용 실적 기준
- 해당 카드로 서비스 이용 전월 일시불+할부 이용 금액이 20만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.
- 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
- 교통카드 이용실적은 전전월 사용실적이 반영됩니다.
- 해외이용실적은 매입일자 기준으로 실적 반영됩니다

전월 이용금액 제외 대상
- 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
- 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액
- 주유 및 LPG 이용 금액

주유 시 포인트 사용
- 주유 시 마이신한포인트로 결제
- 5,000점 이상 적립 시 1원부터 사용 가능
- 휘발유, 등유, 경유 등에 한하여 LPG는 포인트 적립에서 제외됩니다.
- 정유사 통보 휘발유 표준 고시 유가가 적용됩니다.",,"['S-OIL 주유 시 60포인트/ℓ 마이신한포인트 적립(LPG 제외)', '- 월 4회에 한하여, 월 20만원(할인 전 금액)까지 적립', '', '이용 실적 기준', '- 해당 카드로 서비스 이용 전월 일시불+할부 이용 금액이 20만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 2개월까지 실적 제한 없이 서비스가 제공됩니다.', '- 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '- 교통카드 이용실적은 전전월 사용실적이 반영됩니다.', '- 해외이용실적은 매입일자 기준으로 실적 반영됩니다', '', '전월 이용금액 제외 대상', '- 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '- 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액', '- 주유 및 LPG 이용 금액', '', '주유 시 포인트 사용', '- 주유 시 마이신한포인트로 결제', '- 5,000점 이상 적립 시 1원부터 사용 가능', '- 휘발유, 등유, 경유 등에 한하여 LPG는 포인트 적립에서 제외됩니다.', '- 정유사 통보 휘발유 표준 고시 유가가 적용됩니다.']"
3.0,신한카드 Lady,생활서비스,"이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)
- 월 1회/매월 최대 5천원 할인

이용 실적 기준
- 해당 카드로 서비스 이용 직전 3개월 일시불+할부 이용 금액이 90만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 4개월까지 실적 제한 없이 서비스가 제공됩니다.
- 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.
- 교통카드 이용실적은 전전월 사용실적이 반영됩니다.
- 해외이용실적은 매입일자 기준으로 실적 반영됩니다.

전월 이용금액 제외 대상
- 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.
  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액",,"['이동통신요금 자동이체 시 2% 결제일 할인(SKT, KT, LGT)', '- 월 1회/매월 최대 5천원 할인', '', '이용 실적 기준', '- 해당 카드로 서비스 이용 직전 3개월 일시불+할부 이용 금액이 90만원 이상인 경우 서비스가 제공되며, 신규 카드는 카드 사용 등록월 포함 4개월까지 실적 제한 없이 서비스가 제공됩니다.', '- 전월 이용실적은 전월 1일부터 말일까지의 거래시점 실적으로 반영됩니다.', '- 교통카드 이용실적은 전전월 사용실적이 반영됩니다.', '- 해외이용실적은 매입일자 기준으로 실적 반영됩니다.', '', '전월 이용금액 제외 대상', '- 전월 이용금액에 포함되지 않는 대상은 아래와 같으니 참고해주시기 바랍니다.', '  * 단기카드대출(현금서비스)/장기카드대출(카드론)/각종 수수료/이자/거래 취소금액']"
