CARD_ID,카테고리,중분류,소분류,실적구간,1회당 할인율,월 할인한도(할인금액기준)
730,온라인,온라인,네이버쇼핑,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,쿠팡,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,G마켓,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,옥션,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,위메프,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,11번가,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,SSG.COM,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,현대Hmall,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,GS SHOP,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,티몬,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,CJMALL,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,인터파크,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,마켓컬리,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,롯데ON,"[4000000, 8000000]",10.0,5000
730,온라인,온라인,네이버쇼핑,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,쿠팡,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,G마켓,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,옥션,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,위메프,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,11번가,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,SSG.COM,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,현대Hmall,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,GS SHOP,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,티몬,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,CJMALL,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,인터파크,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,마켓컬리,"[8000000, 1000000000]",10.0,8000
730,온라인,온라인,롯데ON,"[8000000, 1000000000]",10.0,8000
730,쇼핑,대형마트,이마트,"[4000000, 8000000]",10.0,5000
730,쇼핑,대형마트,홈플러스,"[4000000, 8000000]",10.0,5000
730,쇼핑,대형마트,롯데마트,"[4000000, 8000000]",10.0,5000
730,쇼핑,대형마트,이마트,"[8000000, 1000000000]",10.0,8000
730,쇼핑,대형마트,홈플러스,"[8000000, 1000000000]",10.0,8000
730,쇼핑,대형마트,롯데마트,"[8000000, 1000000000]",10.0,8000
730,온라인,배달,배달의민족,"[4000000, 8000000]",10.0,5000
730,온라인,배달,요기요,"[4000000, 8000000]",10.0,5000
730,온라인,배달,쿠팡이츠,"[4000000, 8000000]",10.0,5000
730,온라인,배달,배달의민족,"[8000000, 1000000000]",10.0,8000
730,온라인,배달,요기요,"[8000000, 1000000000]",10.0,8000
730,온라인,배달,쿠팡이츠,"[8000000, 1000000000]",10.0,8000
730,생활,주유소,GS칼텍스,"[4000000, 8000000]",5.0,10000
730,생활,주유소,SK에너지,"[4000000, 8000000]",5.0,10000
730,생활,주유소,현대오일뱅크,"[4000000, 8000000]",5.0,10000
730,생활,주유소,S-OIL,"[4000000, 8000000]",5.0,10000
730,생활,주유소,GS칼텍스,"[8000000, 1000000000]",5.0,13000
730,생활,주유소,SK에너지,"[8000000, 1000000000]",5.0,13000
