,card_id,card_name,card_brand,card_fee_in,card_record,card_type,card_image
0,1.0,신한카드 Hi-Point,신한카드,"해외겸용 8,000원",전월실적없음,VISAmastercardJCB,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png
1,2.0,신한카드 Love,신한카드,"해외겸용 8,000원",전월실적20만원 이상,VISAmastercardAMEXUnionPay,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png
2,3.0,신한카드 Lady,신한카드,"해외겸용 5,000원",전월실적30만원 이상,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png
5,6.0,신한카드 Cube,신한카드,"국내전용 10,000원 해외겸용 13,000원",전월실적30만원 이상,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png
6,7.0,신한카드 23.5°,신한카드,"국내전용 10,000원 해외겸용 14,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png
7,8.0,신한카드 The CLASSIC-Y,신한카드,"해외겸용 100,000원",전월실적없음,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png
9,10.0,신한카드 B.Big(삑),신한카드,"해외겸용 10,000원",전월실적30만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png
10,11.0,신한카드 Simple+,신한카드,"해외겸용 10,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/11/card_img/20093/11card.png
11,12.0,신한카드 Air Platinum#,신한카드,"해외겸용 37,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png
12,13.0,신한카드 Mr.Life,신한카드,"해외겸용 15,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png
13,14.0,신한카드 YOLO ⓘ,신한카드,"국내전용 15,000원 해외겸용 18,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png
14,15.0,신한카드 The CLASSIC+,신한카드,"해외겸용 120,000원",전월실적30만원 이상,AMEX,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png
15,16.0,신한카드 RPM+ Platinum#,신한카드,"해외겸용 32,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/16/card_img/28929/16card.png
16,17.0,신한카드 YOLO Tasty,신한카드,"해외겸용 10,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png
17,18.0,신한카드 Shopping,신한카드,"해외겸용 20,000원",전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png
18,19.0,신한카드 O2O,신한카드,"해외겸용 10,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png
19,21.0,신한카드 Simple Platinum#,신한카드,"해외겸용 27,000원",전월실적없음,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/21/card_img/20103/21card.png
20,22.0,카카오페이 신한카드,신한카드,"국내전용 12,000원 해외겸용 15,000원",전월실적30만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png
21,24.0,EDIYA 신한카드 Tasty,신한카드,"해외겸용 10,000원",전월실적30만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png
22,25.0,신한카드 Noon,신한카드,"해외겸용 8,000원",전월실적50만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/25/card_img/20107/25card.png
23,26.0,신한카드 Edu,신한카드,"해외겸용 20,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/26/card_img/20108/26card.png
24,27.0,아시아나 신한카드 Air 1.5,신한카드,"국내전용 43,000원 해외겸용 45,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/27/card_img/25865/27card.png
25,28.0,신세계 신한카드,신한카드,"해외겸용 12,000원",전월실적50만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/28/card_img/20110/28card.png
27,30.0,모바일 Tmoney 신한카드,신한카드,"해외겸용 10,000원",전월실적30만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/30/card_img/20112/30card.png
